epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.645,1.04477,2.76501,0.99092,0.00208,0.9434,0.00793,0.00422,0.82102,4.37134,0.98082,0.000651852,0.000651852,0.000651852
2,200.276,1.0521,2.04986,1.02354,0.00221,1,0.2991,0.21353,0.89415,3.71488,1.09383,0.00105745,0.00105745,0.00105745
3,300.402,1.05212,1.81557,1.0241,1,0.98767,0.995,0.74701,0.85489,2.14242,1.00098,0.00119905,0.00119905,0.00119905
4,400.338,0.85748,1.60232,0.95818,0.99874,1,0.995,0.83216,0.73334,1.48601,0.97714,0.000812,0.000812,0.000812
5,502.561,0.73985,1.46771,0.95242,0.99881,1,0.995,0.86779,0.54885,1.25554,0.91618,0.000416,0.000416,0.000416
